customerID,tenure,MonthlyCharges,TotalCharges,RFM_Score,Segment,CLV_Enhanced,CLV_Tier,Churn
7590-VHVEG,1,29.85,29.85,3,Inactive,7.46,Low Value,No
5575-GNVDE,34,56.95,1889.5,7,At Risk,1102.21,High Value,No
3668-QPYBK,2,53.85,108.15,5,Inactive,45.06,Low Value,Yes
7795-CFOCW,45,42.3,1840.75,7,At Risk,1073.77,High Value,No
9237-HQITU,2,70.7,151.65,5,Inactive,63.19,Low Value,Yes
9305-CDSKC,8,99.65,820.5,8,Loyal Customers,547.0,Medium Value,Yes
1452-KIOVK,22,89.1,1949.4,8,Loyal Customers,1299.6,High Value,No
6713-OKOMC,10,29.75,301.9,4,Inactive,100.63,Low Value,No
7892-POOKP,28,104.8,3046.05,10,Champions,2538.38,High Value,Yes
6388-TABGU,62,56.15,3487.95,8,Loyal Customers,2325.3,High Value,No
9763-GRSKD,13,49.95,587.45,6,At Risk,293.73,Medium Value,No
7469-LKBCI,16,18.95,326.8,4,Inactive,108.93,Low Value,No
8091-TTVAX,58,100.35,5681.1,11,Champions,5207.68,Premium,No
0280-XJGEX,49,103.7,5036.3,11,Champions,4616.61,Premium,Yes
5129-JLPIS,25,105.5,2686.05,10,Champions,2238.38,High Value,No
3655-SNQYZ,69,113.25,7895.15,12,Champions,7895.15,Premium,No
8191-XWSZG,52,20.65,1022.95,5,Inactive,426.23,Medium Value,No
9959-WOFKT,71,106.7,7382.25,12,Champions,7382.25,Premium,No
4190-MFLUW,10,55.2,528.35,6,At Risk,264.18,Medium Value,Yes
4183-MYFRB,21,90.05,1862.9,9,Loyal Customers,1397.18,High Value,No
8779-QRDMV,1,39.65,39.65,5,Inactive,16.52,Low Value,Yes
1680-VDCWW,12,19.8,202.25,4,Inactive,67.42,Low Value,No
1066-JKSGK,1,20.15,20.15,3,Inactive,5.04,Low Value,Yes
3638-WEABW,58,59.9,3505.1,9,Loyal Customers,2628.82,High Value,No
6322-HRPFA,49,59.6,2970.3,8,Loyal Customers,1980.2,High Value,No
6865-JZNKO,30,55.3,1530.6,7,At Risk,892.85,High Value,No
6467-CHFZW,47,99.35,4749.15,10,Champions,3957.62,Premium,Yes
8665-UTDHZ,1,30.2,30.2,3,Inactive,7.55,Low Value,Yes
5248-YGIJN,72,90.25,6369.45,12,Champions,6369.45,Premium,No
8773-HHUOZ,17,64.7,1093.1,6,At Risk,546.55,Medium Value,Yes
3841-NFECX,71,96.35,6766.95,12,Champions,6766.95,Premium,No
