customerID,Churn_Probability,Risk_Label,tenure,MonthlyCharges,TotalCharges,Segment,CLV_Enhanced,CLV_Tier,Churn,Priority,Retention_Strategy,Revenue_at_Risk
7590-VHVEG,0.8734,High Risk,1,29.85,29.85,Inactive,7.46,Low Value,No,High,Email Campaign,6.52
5575-GNVDE,0.0838,Low Risk,34,56.95,1889.5,At Risk,1102.21,High Value,No,Low,No Action Needed,92.37
3668-QPYBK,0.6258,Medium Risk,2,53.85,108.15,Inactive,45.06,Low Value,Yes,Medium,SMS Reminder,28.2
7795-CFOCW,0.0674,Low Risk,45,42.3,1840.75,At Risk,1073.77,High Value,No,Low,No Action Needed,72.37
9237-HQITU,0.8359,High Risk,2,70.7,151.65,Inactive,63.19,Low Value,Yes,High,Email Campaign,52.82
9305-CDSKC,0.9515,High Risk,8,99.65,820.5,Loyal Customers,547.0,Medium Value,Yes,High,Discount Offer,520.47
1452-KIOVK,0.6591,Medium Risk,22,89.1,1949.4,Loyal Customers,1299.6,High Value,No,High,Loyalty Reward,856.57
6713-OKOMC,0.5264,Medium Risk,10,29.75,301.9,Inactive,100.63,Low Value,No,Medium,SMS Reminder,52.97
7892-POOKP,0.8153,High Risk,28,104.8,3046.05,Champions,2538.38,High Value,Yes,Critical,Personal Relationship Manager,2069.54
6388-TABGU,0.0296,Low Risk,62,56.15,3487.95,Loyal Customers,2325.3,High Value,No,Low,No Action Needed,68.83
9763-GRSKD,0.3056,Low Risk,13,49.95,587.45,At Risk,293.73,Medium Value,No,Low,No Action Needed,89.76
7469-LKBCI,0.0068,Low Risk,16,18.95,326.8,Inactive,108.93,Low Value,No,Low,No Action Needed,0.74
8091-TTVAX,0.4225,Medium Risk,58,100.35,5681.1,Champions,5207.68,Premium,No,High,Loyalty Reward,2200.24
0280-XJGEX,0.7176,High Risk,49,103.7,5036.3,Champions,4616.61,Premium,Yes,Critical,Personal Relationship Manager,3312.88
5129-JLPIS,0.7082,High Risk,25,105.5,2686.05,Champions,2238.38,High Value,No,Critical,Personal Relationship Manager,1585.22
3655-SNQYZ,0.0862,Low Risk,69,113.25,7895.15,Champions,7895.15,Premium,No,Low,No Action Needed,680.56
8191-XWSZG,0.0322,Low Risk,52,20.65,1022.95,Inactive,426.23,Medium Value,No,Low,No Action Needed,13.72
9959-WOFKT,0.1362,Low Risk,71,106.7,7382.25,Champions,7382.25,Premium,No,Low,No Action Needed,1005.46
4190-MFLUW,0.3511,Low Risk,10,55.2,528.35,At Risk,264.18,Medium Value,Yes,Low,No Action Needed,92.75
4183-MYFRB,0.7271,High Risk,21,90.05,1862.9,Loyal Customers,1397.18,High Value,No,Critical,Personal Relationship Manager,1015.89
8779-QRDMV,0.9385,High Risk,1,39.65,39.65,Inactive,16.52,Low Value,Yes,High,Email Campaign,15.5
1680-VDCWW,0.1157,Low Risk,12,19.8,202.25,Inactive,67.42,Low Value,No,Low,No Action Needed,7.8
1066-JKSGK,0.6469,Medium Risk,1,20.15,20.15,Inactive,5.04,Low Value,Yes,Medium,SMS Reminder,3.26
3638-WEABW,0.0541,Low Risk,58,59.9,3505.1,Loyal Customers,2628.82,High Value,No,Low,No Action Needed,142.22
6322-HRPFA,0.1801,Low Risk,49,59.6,2970.3,Loyal Customers,1980.2,High Value,No,Low,No Action Needed,356.63
6865-JZNKO,0.211,Low Risk,30,55.3,1530.6,At Risk,892.85,High Value,No,Low,No Action Needed,188.39
6467-CHFZW,0.7621,High Risk,47,99.35,4749.15,Champions,3957.62,Premium,Yes,Critical,Personal Relationship Manager,3016.1
8665-UTDHZ,0.7761,High Risk,1,30.2,30.2,Inactive,7.55,Low Value,Yes,High,Email Campaign,5.86
5248-YGIJN,0.0223,Low Risk,72,90.25,6369.45,Champions,6369.45,Premium,No,Low,No Action Needed,142.04
8773-HHUOZ,0.479,Medium Risk,17,64.7,1093.1,At Risk,546.55,Medium Value,Yes,Medium,SMS Reminder,261.8
3841-NFECX,0.0579,Low Risk,71,96.35,6766.95,Champions,6766.95,Premium,No,Low,No Action Needed,391.81
4929-XIHVW,0.9065,High Risk,2,95.5,181.65,Loyal Customers,121.1,Low Value,No,High,Email Campaign,109.78
6827-IEAUQ,0.0815,Low Risk,27,66.15,1874.45,At Risk,1093.43,High Value,No,Low,No Action Needed,89.11
7310-EGVHZ,0.5606,Medium Risk,1,20.2,20.2,Inactive,5.05,Low Value,No,Medium,SMS Reminder,2.83
3413-BMNZE,0.8399,High Risk,1,45.25,45.25,Inactive,15.08,Low Value,No,High,Email Campaign,12.67
6234-RAAPL,0.0331,Low Risk,72,99.9,7251.7,Champions,7251.7,Premium,No,Low,No Action Needed,240.03
6047-YHPVI,0.8203,High Risk,5,69.7,316.9,Inactive,105.63,Low Value,Yes,High,Email Campaign,86.65
6572-ADKRS,0.4472,Medium Risk,46,74.8,3548.3,Loyal Customers,2365.53,High Value,No,High,Loyalty Reward,1057.87
5380-WJKOV,0.745,High Risk,34,106.35,3549.25,Champions,3253.48,Premium,Yes,Critical,Personal Relationship Manager,2423.84
8168-UQWWF,0.9479,High Risk,11,97.85,1105.4,Loyal Customers,829.05,High Value,Yes,Critical,Personal Relationship Manager,785.86
8865-TNMNX,0.1215,Low Risk,10,49.55,475.7,At Risk,237.85,Medium Value,No,Low,No Action Needed,28.9
9489-DEDVP,0.066,Low Risk,70,69.2,4872.35,Loyal Customers,3654.26,Premium,No,Low,No Action Needed,241.18
9867-JCZSP,0.0498,Low Risk,17,20.75,418.25,Inactive,139.42,Low Value,No,Low,No Action Needed,6.94
4671-VJLCL,0.0519,Low Risk,63,79.85,4861.45,Champions,4456.33,Premium,No,Low,No Action Needed,231.28
4080-IIARD,0.3817,Low Risk,13,76.2,981.45,Loyal Customers,736.09,Medium Value,No,Low,No Action Needed,280.97
3714-NTNFO,0.7103,High Risk,49,84.5,3906.7,Loyal Customers,2604.47,High Value,No,Critical,Personal Relationship Manager,1849.96
