customerID,Churn_Probability,Risk_Label,tenure,MonthlyCharges,TotalCharges,Segment,CLV_Enhanced,CLV_Tier,Churn,Priority,Retention_Strategy
7590-VHVEG,0.8734,High Risk,1,29.85,29.85,Inactive,7.46,Low Value,No,High,Email Campaign
5575-GNVDE,0.0838,Low Risk,34,56.95,1889.5,At Risk,1102.21,High Value,No,Low,No Action Needed
3668-QPYBK,0.6258,Medium Risk,2,53.85,108.15,Inactive,45.06,Low Value,Yes,Medium,SMS Reminder
7795-CFOCW,0.0674,Low Risk,45,42.3,1840.75,At Risk,1073.77,High Value,No,Low,No Action Needed
9237-HQITU,0.8359,High Risk,2,70.7,151.65,Inactive,63.19,Low Value,Yes,High,Email Campaign
9305-CDSKC,0.9515,High Risk,8,99.65,820.5,Loyal Customers,547.0,Medium Value,Yes,High,Discount Offer
1452-KIOVK,0.6591,Medium Risk,22,89.1,1949.4,Loyal Customers,1299.6,High Value,No,High,Loyalty Reward
6713-OKOMC,0.5264,Medium Risk,10,29.75,301.9,Inactive,100.63,Low Value,No,Medium,SMS Reminder
7892-POOKP,0.8153,High Risk,28,104.8,3046.05,Champions,2538.38,High Value,Yes,Critical,Personal Relationship Manager
6388-TABGU,0.0296,Low Risk,62,56.15,3487.95,Loyal Customers,2325.3,High Value,No,Low,No Action Needed
9763-GRSKD,0.3056,Low Risk,13,49.95,587.45,At Risk,293.73,Medium Value,No,Low,No Action Needed
7469-LKBCI,0.0068,Low Risk,16,18.95,326.8,Inactive,108.93,Low Value,No,Low,No Action Needed
8091-TTVAX,0.4225,Medium Risk,58,100.35,5681.1,Champions,5207.68,Premium,No,High,Loyalty Reward
0280-XJGEX,0.7176,High Risk,49,103.7,5036.3,Champions,4616.61,Premium,Yes,Critical,Personal Relationship Manager
5129-JLPIS,0.7082,High Risk,25,105.5,2686.05,Champions,2238.38,High Value,No,Critical,Personal Relationship Manager
3655-SNQYZ,0.0862,Low Risk,69,113.25,7895.15,Champions,7895.15,Premium,No,Low,No Action Needed
8191-XWSZG,0.0322,Low Risk,52,20.65,1022.95,Inactive,426.23,Medium Value,No,Low,No Action Needed
9959-WOFKT,0.1362,Low Risk,71,106.7,7382.25,Champions,7382.25,Premium,No,Low,No Action Needed
4190-MFLUW,0.3511,Low Risk,10,55.2,528.35,At Risk,264.18,Medium Value,Yes,Low,No Action Needed
4183-MYFRB,0.7271,High Risk,21,90.05,1862.9,Loyal Customers,1397.18,High Value,No,Critical,Personal Relationship Manager
8779-QRDMV,0.9385,High Risk,1,39.65,39.65,Inactive,16.52,Low Value,Yes,High,Email Campaign
1680-VDCWW,0.1157,Low Risk,12,19.8,202.25,Inactive,67.42,Low Value,No,Low,No Action Needed
1066-JKSGK,0.6469,Medium Risk,1,20.15,20.15,Inactive,5.04,Low Value,Yes,Medium,SMS Reminder
3638-WEABW,0.0541,Low Risk,58,59.9,3505.1,Loyal Customers,2628.82,High Value,No,Low,No Action Needed
6322-HRPFA,0.1801,Low Risk,49,59.6,2970.3,Loyal Customers,1980.2,High Value,No,Low,No Action Needed
6865-JZNKO,0.211,Low Risk,30,55.3,1530.6,At Risk,892.85,High Value,No,Low,No Action Needed
6467-CHFZW,0.7621,High Risk,47,99.35,4749.15,Champions,3957.62,Premium,Yes,Critical,Personal Relationship Manager
8665-UTDHZ,0.7761,High Risk,1,30.2,30.2,Inactive,7.55,Low Value,Yes,High,Email Campaign
5248-YGIJN,0.0223,Low Risk,72,90.25,6369.45,Champions,6369.45,Premium,No,Low,No Action Needed
8773-HHUOZ,0.479,Medium Risk,17,64.7,1093.1,At Risk,546.55,Medium Value,Yes,Medium,SMS Reminder
3841-NFECX,0.0579,Low Risk,71,96.35,6766.95,Champions,6766.95,Premium,No,Low,No Action Needed
4929-XIHVW,0.9065,High Risk,2,95.5,181.65,Loyal Customers,121.1,Low Value,No,High,Email Campaign
6827-IEAUQ,0.0815,Low Risk,27,66.15,1874.45,At Risk,1093.43,High Value,No,Low,No Action Needed
7310-EGVHZ,0.5606,Medium Risk,1,20.2,20.2,Inactive,5.05,Low Value,No,Medium,SMS Reminder
3413-BMNZE,0.8399,High Risk,1,45.25,45.25,Inactive,15.08,Low Value,No,High,Email Campaign
6234-RAAPL,0.0331,Low Risk,72,99.9,7251.7,Champions,7251.7,Premium,No,Low,No Action Needed
6047-YHPVI,0.8203,High Risk,5,69.7,316.9,Inactive,105.63,Low Value,Yes,High,Email Campaign
6572-ADKRS,0.4472,Medium Risk,46,74.8,3548.3,Loyal Customers,2365.53,High Value,No,High,Loyalty Reward
5380-WJKOV,0.745,High Risk,34,106.35,3549.25,Champions,3253.48,Premium,Yes,Critical,Personal Relationship Manager
8168-UQWWF,0.9479,High Risk,11,97.85,1105.4,Loyal Customers,829.05,High Value,Yes,Critical,Personal Relationship Manager
8865-TNMNX,0.1215,Low Risk,10,49.55,475.7,At Risk,237.85,Medium Value,No,Low,No Action Needed
9489-DEDVP,0.066,Low Risk,70,69.2,4872.35,Loyal Customers,3654.26,Premium,No,Low,No Action Needed
9867-JCZSP,0.0498,Low Risk,17,20.75,418.25,Inactive,139.42,Low Value,No,Low,No Action Needed
4671-VJLCL,0.0519,Low Risk,63,79.85,4861.45,Champions,4456.33,Premium,No,Low,No Action Needed
4080-IIARD,0.3817,Low Risk,13,76.2,981.45,Loyal Customers,736.09,Medium Value,No,Low,No Action Needed
3714-NTNFO,0.7103,High Risk,49,84.5,3906.7,Loyal Customers,2604.47,High Value,No,Critical,Personal Relationship Manager
5948-UJZLF,0.6312,Medium Risk,2,49.25,97.0,Inactive,40.42,Low Value,No,Medium,SMS Reminder
7760-OYPDY,0.864,High Risk,2,80.65,144.15,At Risk,72.08,Low Value,Yes,High,Email Campaign
7639-LIAYI,0.0572,Low Risk,52,79.75,4217.8,Champions,3514.83,Premium,No,Low,No Action Needed
2954-PIBKO,0.072,Low Risk,69,64.15,4254.1,Loyal Customers,3190.58,Premium,No,Low,No Action Needed
8012-SOUDQ,0.6736,Medium Risk,43,90.25,3838.75,Champions,3198.96,Premium,No,High,Loyalty Reward
9420-LOJKX,0.7991,High Risk,15,99.1,1426.4,Loyal Customers,1069.8,High Value,Yes,Critical,Personal Relationship Manager
6575-SUVOI,0.2432,Low Risk,25,69.5,1752.65,At Risk,1022.38,High Value,No,Low,No Action Needed
7495-OOKFY,0.8664,High Risk,8,80.65,633.3,At Risk,316.65,Medium Value,Yes,High,Discount Offer
4667-QONEA,0.1287,Low Risk,60,74.85,4456.35,Champions,4084.99,Premium,No,Low,No Action Needed
1658-BYGOY,0.8525,High Risk,18,95.45,1752.55,Loyal Customers,1314.41,High Value,Yes,Critical,Personal Relationship Manager
8769-KKTPH,0.2943,Low Risk,63,99.65,6311.2,Champions,5785.27,Premium,No,Low,No Action Needed
5067-XJQFU,0.4782,Medium Risk,66,108.45,7076.35,Champions,7076.35,Premium,No,High,Loyalty Reward
3957-SQXML,0.0377,Low Risk,34,24.95,894.3,At Risk,447.15,Medium Value,No,Low,No Action Needed
5954-BDFSG,0.0921,Low Risk,72,107.5,7853.7,Champions,7853.7,Premium,No,Low,No Action Needed
0434-CSFON,0.7613,High Risk,47,100.5,4707.1,Champions,3922.58,Premium,No,Critical,Personal Relationship Manager
1215-FIGMP,0.3676,Low Risk,60,89.9,5450.7,Champions,4996.47,Premium,No,Low,No Action Needed
0526-SXDJP,0.0155,Low Risk,72,42.1,2962.0,Loyal Customers,1974.67,High Value,No,Low,No Action Needed
0557-ASKVU,0.141,Low Risk,18,54.4,957.1,At Risk,478.55,Medium Value,No,Low,No Action Needed
5698-BQJOH,0.8727,High Risk,9,94.4,857.25,Loyal Customers,571.5,Medium Value,Yes,High,Discount Offer
5122-CYFXA,0.6914,Medium Risk,3,75.3,244.1,At Risk,142.39,Low Value,No,Medium,SMS Reminder
8627-ZYGSZ,0.1931,Low Risk,47,78.9,3650.35,Loyal Customers,2433.57,High Value,No,Low,No Action Needed
3410-YOQBQ,0.068,Low Risk,31,79.2,2497.2,Champions,2081.0,High Value,No,Low,No Action Needed
3170-NMYVV,0.0313,Low Risk,50,20.15,930.9,Inactive,387.88,Medium Value,No,Low,No Action Needed
7410-OIEDU,0.6591,Medium Risk,10,79.85,887.35,At Risk,517.62,Medium Value,No,Medium,SMS Reminder
2273-QCKXA,0.6551,Medium Risk,1,49.05,49.05,Inactive,20.44,Low Value,No,Medium,SMS Reminder
0731-EBJQB,0.0514,Low Risk,52,20.4,1090.65,Inactive,454.44,Medium Value,No,Low,No Action Needed
1891-QRQSA,0.1321,Low Risk,64,111.6,7099.0,Champions,7099.0,Premium,No,Low,No Action Needed
8028-PNXHQ,0.0169,Low Risk,62,24.25,1424.6,At Risk,831.02,High Value,No,Low,No Action Needed
5630-AHZIL,0.6465,Medium Risk,3,64.5,177.4,At Risk,88.7,Low Value,No,Medium,SMS Reminder
2673-CXQEU,0.3259,Low Risk,56,110.5,6139.5,Champions,6139.5,Premium,No,Low,No Action Needed
6416-JNVRK,0.1926,Low Risk,46,55.65,2688.85,At Risk,1568.5,High Value,No,Low,No Action Needed
5590-ZSKRV,0.259,Low Risk,8,54.65,482.25,Inactive,200.94,Medium Value,No,Low,No Action Needed
0191-ZHSKZ,0.3371,Low Risk,30,74.75,2111.3,Loyal Customers,1583.48,High Value,No,Low,No Action Needed
3887-PBQAO,0.0556,Low Risk,45,25.9,1216.6,At Risk,608.3,Medium Value,No,Low,No Action Needed
5919-TMRGD,0.925,High Risk,1,79.35,79.35,At Risk,39.67,Low Value,Yes,High,Email Campaign
